time,Şahinkaya Kanyonu - Samsun_temp,Şahinkaya Kanyonu - Samsun_prcp,Şahinkaya Kanyonu - Samsun_snow,Şahinkaya Kanyonu - Samsun_rain,Şahinkaya Kanyonu - Samsun_tmin,Şahinkaya Kanyonu - Samsun_tmax,Şahinkaya Kanyonu - Samsun_wspd,Şahinkaya Kanyonu - Samsun_rhum
2024-01-01,10.45,0.0,0.0,0.0,5.93,15.61,4.05,75.33
2024-01-02,11.02,0.09,0.0,0.09,8.59,14.0,4.85,71.41
2024-01-03,11.29,1.03,0.0,1.03,8.03,13.43,6.47,79.0
2024-01-04,12.97,0.98,0.0,0.98,10.53,16.49,6.4,68.46
2024-01-05,11.19,2.82,0.0,2.82,7.28,15.19,9.04,72.99
2024-01-06,10.26,0.0,0.0,0.0,4.44,15.45,6.46,59.53
2024-01-07,11.97,0.0,0.0,0.0,6.86,17.12,7.41,52.0
2024-01-08,12.84,5.55,0.0,5.55,10.43,17.53,6.32,67.66
2024-01-09,8.97,0.8,0.0,0.8,6.65,12.91,13.25,85.05
2024-01-10,5.3,2.37,0.0,2.37,4.27,7.02,18.43,75.43
2024-01-11,4.62,0.34,0.0,0.34,2.82,6.63,9.09,65.63
2024-01-12,4.08,0.9,0.0,0.9,1.3,7.6,7.43,72.71
2024-01-13,1.11,3.35,3.35,0.0,-1.03,3.31,8.03,73.82
2024-01-14,1.99,3.15,3.15,0.0,-3.25,7.49,5.76,62.81
2024-01-15,6.25,0.13,0.0,0.13,-0.25,13.06,7.82,53.9
2024-01-16,11.65,2.59,0.0,2.59,7.05,15.57,12.01,62.26
2024-01-17,8.2,1.09,0.0,1.09,5.08,10.86,8.88,77.18
2024-01-18,11.31,0.0,0.0,0.0,4.74,16.32,6.89,69.6
2024-01-19,14.92,0.26,0.0,0.26,11.47,18.96,10.62,62.32
2024-01-20,12.56,3.17,0.0,3.17,8.0,18.38,7.98,71.45
2024-01-21,5.98,19.38,0.0,19.38,3.78,9.73,16.43,80.97
2024-01-22,4.04,1.56,0.0,1.56,2.07,6.84,11.41,68.27
2024-01-23,3.07,0.59,0.0,0.59,-0.23,7.04,4.91,68.73
2024-01-24,3.76,0.09,0.0,0.09,0.62,8.17,4.11,70.5
2024-01-25,4.35,0.0,0.0,0.0,-0.19,7.71,5.35,64.37
2024-01-26,6.01,0.26,0.0,0.26,3.38,9.67,5.36,71.52
2024-01-27,4.76,6.15,0.0,6.15,1.7,7.91,6.96,76.95
2024-01-28,4.17,7.7,0.0,7.7,1.3,8.13,4.65,78.22
2024-01-29,3.87,7.2,0.0,7.2,1.81,7.15,7.19,78.63
2024-01-30,4.09,1.95,0.0,1.95,2.28,6.58,10.34,76.86
2024-01-31,5.32,1.71,0.0,1.71,2.29,9.01,11.95,74.45
2024-02-01,4.55,2.24,0.0,2.24,1.79,8.73,4.68,76.61
2024-02-02,4.68,0.0,0.0,0.0,-1.0,9.44,5.02,74.9
2024-02-03,6.48,0.28,0.0,0.28,4.17,9.53,5.27,70.95
2024-02-04,7.33,0.0,0.0,0.0,3.81,10.97,3.63,64.36
2024-02-05,10.13,0.08,0.0,0.08,5.43,14.32,8.27,62.49
