time,Gölcük Tabiat Parkı - Bolu_temp,Gölcük Tabiat Parkı - Bolu_prcp,Gölcük Tabiat Parkı - Bolu_snow,Gölcük Tabiat Parkı - Bolu_rain,Gölcük Tabiat Parkı - Bolu_tmin,Gölcük Tabiat Parkı - Bolu_tmax,Gölcük Tabiat Parkı - Bolu_wspd,Gölcük Tabiat Parkı - Bolu_rhum
2024-01-01,5.41,0.0,0.0,0.0,-1.32,11.14,2.08,74.19
2024-01-02,3.64,1.46,0.0,1.46,-1.29,7.57,1.74,81.59
2024-01-03,6.13,3.23,0.0,3.23,1.88,9.75,3.58,80.06
2024-01-04,7.53,1.47,0.0,1.47,4.07,10.99,4.85,69.42
2024-01-05,4.56,13.12,0.0,13.12,0.31,8.27,6.45,72.61
2024-01-06,4.24,0.0,0.0,0.0,-4.18,11.92,2.03,62.71
2024-01-07,6.92,2.58,0.0,2.58,0.27,11.92,4.37,66.09
2024-01-08,5.47,6.88,0.0,6.88,3.76,7.83,4.55,77.98
2024-01-09,0.41,4.44,4.44,0.0,-2.09,2.62,2.88,89.4
2024-01-10,-2.07,12.42,12.42,0.0,-2.87,-1.16,4.0,93.97
2024-01-11,-3.42,4.06,4.06,0.0,-4.92,-2.05,2.62,81.46
2024-01-12,-3.36,0.86,0.86,0.0,-4.65,-1.39,4.52,81.95
2024-01-13,-6.34,1.83,1.83,0.0,-9.0,-3.47,3.49,75.57
2024-01-14,-5.24,0.25,0.25,0.0,-11.87,0.15,2.51,67.41
2024-01-15,0.06,0.0,0.0,0.0,-9.5,4.41,3.51,65.78
2024-01-16,3.47,0.41,0.0,0.41,0.68,5.73,5.41,76.07
2024-01-17,2.64,1.27,0.0,1.27,-1.59,8.06,1.96,84.55
2024-01-18,4.51,0.19,0.0,0.19,-3.03,9.38,3.98,77.2
2024-01-19,8.07,1.37,0.0,1.37,5.42,11.33,4.62,69.46
2024-01-20,4.28,0.33,0.0,0.33,0.4,9.96,3.17,82.45
2024-01-21,-1.56,11.95,11.95,0.0,-3.08,0.19,4.15,87.29
2024-01-22,-3.23,0.68,0.68,0.0,-6.84,-0.35,4.02,68.88
2024-01-23,-4.36,0.0,0.0,0.0,-10.55,0.63,1.67,75.89
2024-01-24,-4.25,0.0,0.0,0.0,-8.98,1.47,1.33,81.05
2024-01-25,-3.25,1.93,1.93,0.0,-6.91,2.58,3.16,82.31
2024-01-26,-2.2,5.65,5.65,0.0,-3.11,0.11,4.99,94.45
2024-01-27,-2.62,11.56,11.56,0.0,-4.81,0.62,4.5,89.16
2024-01-28,-3.32,3.05,3.05,0.0,-5.31,-1.65,5.11,92.2
2024-01-29,-3.09,1.43,1.43,0.0,-6.11,-0.46,3.17,82.8
2024-01-30,-3.0,0.01,0.01,0.0,-7.01,0.46,4.36,75.7
2024-01-31,-3.05,0.0,0.0,0.0,-7.62,1.29,3.28,73.08
2024-02-01,-2.77,0.0,0.0,0.0,-7.0,2.19,2.37,74.91
2024-02-02,-1.91,0.0,0.0,0.0,-9.07,4.13,3.02,77.48
2024-02-03,-0.7,0.28,0.28,0.0,-3.47,3.42,2.98,73.81
2024-02-04,-0.35,0.06,0.06,0.0,-5.39,3.23,2.83,76.46
2024-02-05,3.47,1.59,0.0,1.59,-0.42,5.55,5.16,74.95
2024-02-06,7.44,0.0,0.0,0.0,1.72,11.54,6.57,60.32
2024-02-07,6.86,0.0,0.0,0.0,-4.07,15.07,2.44,57.88
2024-02-08,6.32,0.0,0.0,0.0,-1.82,11.59,2.91,62.66
2024-02-09,6.49,0.0,0.0,0.0,-3.08,13.5,2.48,67.73
2024-02-10,8.57,0.0,0.0,0.0,-2.03,13.82,2.84,57.5
2024-02-11,8.7,0.0,0.0,0.0,1.89,12.57,2.33,57.16
2024-02-12,10.75,0.02,0.0,0.02,6.49,14.24,3.88,49.32
2024-02-13,7.25,0.63,0.0,0.63,3.9,9.14,3.92,56.79
2024-02-14,2.98,6.8,0.0,6.8,1.37,4.1,1.72,88.76
2024-02-15,1.5,7.01,7.01,0.0,-0.46,4.07,2.9,90.15
2024-02-16,2.24,0.37,0.0,0.37,-0.03,4.93,2.56,83.52
2024-02-17,1.03,0.4,0.4,0.0,-0.65,2.74,3.28,86.4
2024-02-18,0.77,0.42,0.42,0.0,-2.29,4.08,3.53,79.88
2024-02-19,0.18,0.0,0.0,0.0,-3.0,3.89,2.11,76.24
2024-02-20,1.14,0.01,0.01,0.0,-2.45,5.71,2.1,78.48
2024-02-21,0.18,0.0,0.0,0.0,-1.8,3.15,2.63,80.36
2024-02-22,1.21,0.02,0.02,0.0,-5.78,6.8,2.07,65.48
2024-02-23,3.83,0.0,0.0,0.0,-6.57,11.58,2.26,59.04
2024-02-24,4.83,0.0,0.0,0.0,-2.75,13.98,1.62,56.89
2024-02-25,7.62,0.0,0.0,0.0,-2.98,14.82,1.7,62.59
2024-02-26,7.56,0.0,0.0,0.0,-0.48,13.16,1.61,62.59
2024-02-27,6.75,0.0,0.0,0.0,-2.29,14.41,2.25,70.42
2024-02-28,7.98,0.0,0.0,0.0,-2.62,15.83,2.34,68.99
2024-02-29,9.09,0.0,0.0,0.0,-1.84,17.09,1.73,64.31
2024-03-01,6.08,0.0,0.0,0.0,0.26,15.16,1.87,61.54
2024-03-02,6.38,0.0,0.0,0.0,-1.15,13.6,3.04,64.89
2024-03-03,6.13,0.01,0.0,0.01,0.95,11.07,3.4,73.88
2024-03-04,6.12,0.32,0.0,0.32,0.22,11.43,2.39,75.2
2024-03-05,5.77,4.03,0.0,4.03,-3.07,11.63,2.72,72.4
2024-03-06,1.66,3.72,3.72,0.0,-0.24,3.51,4.56,90.53
2024-03-07,2.92,0.62,0.0,0.62,-1.95,7.49,2.64,75.11
2024-03-08,2.55,2.85,0.0,2.85,-3.76,9.66,2.63,80.41
2024-03-09,0.3,1.67,1.67,0.0,-1.64,2.65,3.29,86.07
2024-03-10,2.67,0.0,0.0,0.0,-4.52,8.77,2.04,73.9
2024-03-11,7.98,0.0,0.0,0.0,-4.6,14.95,1.31,62.34
2024-03-12,10.35,0.01,0.0,0.01,-0.22,17.65,1.69,51.81
2024-03-13,6.27,1.01,0.0,1.01,3.26,11.97,2.56,66.37
2024-03-14,5.45,1.29,0.0,1.29,0.74,11.32,1.85,72.54
2024-03-15,2.88,2.19,0.0,2.19,-0.34,6.42,2.57,84.46
2024-03-16,3.1,0.78,0.0,0.78,-0.34,6.16,1.32,81.54
2024-03-17,4.15,0.0,0.0,0.0,-1.05,11.07,1.77,72.72
2024-03-18,4.48,0.0,0.0,0.0,-4.35,11.47,1.91,68.35
2024-03-19,5.18,0.0,0.0,0.0,-5.37,11.89,1.82,57.55
